schemaVersion,sessionId,participantId,experimentMode,protocolId,configHash,trainingCondition,trainingConditions,phase,conditionId,conditionOrder,sequenceId,sequenceIndexInCondition,trialInSequence,trialInCondition,trialInPhase,countedTotal,priorSameConditionFirstClicks,priorAllConditionFirstClicks,plannedTrialId,attemptId,attemptIndex,segmentId,amplitudeMm,widthMm,nominalId,amplitudeCssPx,widthCssPx,layoutDiameterCssPx,calibrationId,geometryRevision,fromTargetIndex,toTargetIndex,fromCenterX,fromCenterY,toCenterX,toCenterY,startClickX,startClickY,startAtMonotonicMs,firstClickX,firstClickY,firstClickAtMonotonicMs,mtFirstMs,firstHit,countedAsTrial,correctionClickCount,completionX,completionY,mtCompletionMs,correctionDurationMs,completionStatus,interruptionReason,interruptedAtIso,startedAtIso,firstClickAtIso,completedAtIso,recoveredAtIso,trajectorySampleCount,targetPaintAtMonotonicMs
1.2.0,29e40d9d-fcba-4886-8a14-dd6d3c6b3f5d,001,main,pointing-single-208-post104-continuous-v3,539807cd564d571194824c9e9a5986a9c009b1b63ed371ea94a24f47d2ef96d9,C3,"[""C3""]",training,C3,1,s1,1,1,1,1,1,0,0,29e40d9d-fcba-4886-8a14-dd6d3c6b3f5d:s1:t1,29e40d9d-fcba-4886-8a14-dd6d3c6b3f5d:s1:t1:a1,1,29e40d9d-fcba-4886-8a14-dd6d3c6b3f5d:segment1,180,20,3.321928094887362,878.0487804878048,97.5609756097561,884.4977650527946,0335b2c8-8084-4c33-9a3c-1e849357e589,1,0,6,1440,367.7511174736027,1545.8370851022348,1239.3979337548208,1452,394,87858.5,1551,1245,88358.80000019073,500.30000019073486,true,true,0,1551,1245,500.30000019073486,0,completed,,,2026-09-24T08:54:21.850Z,2026-09-24T08:54:22.351Z,2026-09-24T08:54:22.351Z,,26,87866.732
1.2.0,29e40d9d-fcba-4886-8a14-dd6d3c6b3f5d,001,main,pointing-single-208-post104-continuous-v3,539807cd564d571194824c9e9a5986a9c009b1b63ed371ea94a24f47d2ef96d9,C3,"[""C3""]",training,C3,1,s1,1,2,2,2,2,1,1,29e40d9d-fcba-4886-8a14-dd6d3c6b3f5d:s1:t2,29e40d9d-fcba-4886-8a14-dd6d3c6b3f5d:s1:t2:a1,1,29e40d9d-fcba-4886-8a14-dd6d3c6b3f5d:segment1,180,20,3.321928094887362,878.0487804878048,97.5609756097561,884.4977650527946,0335b2c8-8084-4c33-9a3c-1e849357e589,1,6,12,1545.8370851022348,1239.3979337548208,1234.4766964795208,418.40806212860286,1551,1245,88358.80000019073,1233,455,88991.70000004768,632.8999998569489,true,true,0,1233,455,632.8999998569489,0,completed,,,2026-09-24T08:54:22.351Z,2026-09-24T08:54:22.983Z,2026-09-24T08:54:22.983Z,,31,88350.03
1.2.0,29e40d9d-fcba-4886-8a14-dd6d3c6b3f5d,001,main,pointing-single-208-post104-continuous-v3,539807cd564d571194824c9e9a5986a9c009b1b63ed371ea94a24f47d2ef96d9,C3,"[""C3""]",training,C3,1,s1,1,3,3,3,3,2,2,29e40d9d-fcba-4886-8a14-dd6d3c6b3f5d:s1:t3,29e40d9d-fcba-4886-8a14-dd6d3c6b3f5d:s1:t3:a1,1,29e40d9d-fcba-4886-8a14-dd6d3c6b3f5d:segment1,180,20,3.321928094887362,878.0487804878048,97.5609756097561,884.4977650527946,0335b2c8-8084-4c33-9a3c-1e849357e589,1,12,5,1234.4766964795208,418.40806212860286,1733.2652545849257,1141.0280419376672,1233,455,88991.70000004768,1753,1124,89658.70000004768,667,true,true,0,1753,1124,667,0,completed,,,2026-09-24T08:54:22.983Z,2026-09-24T08:54:23.650Z,2026-09-24T08:54:23.650Z,,31,88983.386
1.2.0,29e40d9d-fcba-4886-8a14-dd6d3c6b3f5d,001,main,pointing-single-208-post104-continuous-v3,539807cd564d571194824c9e9a5986a9c009b1b63ed371ea94a24f47d2ef96d9,C3,"[""C3""]",training,C3,1,s1,1,4,4,4,4,3,3,29e40d9d-fcba-4886-8a14-dd6d3c6b3f5d:s1:t4,29e40d9d-fcba-4886-8a14-dd6d3c6b3f5d:s1:t4:a1,1,29e40d9d-fcba-4886-8a14-dd6d3c6b3f5d:segment1,180,20,3.321928094887362,878.0487804878048,97.5609756097561,884.4977650527946,0335b2c8-8084-4c33-9a3c-1e849357e589,1,5,11,1733.2652545849257,1141.0280419376672,1076.0363049712757,558.7740005555058,1753,1124,89658.70000004768,1096,565,90258.30000019073,599.6000001430511,true,true,0,1096,565,599.6000001430511,0,completed,,,2026-09-24T08:54:23.650Z,2026-09-24T08:54:24.250Z,2026-09-24T08:54:24.250Z,,26,89666.7
1.2.0,29e40d9d-fcba-4886-8a14-dd6d3c6b3f5d,001,main,pointing-single-208-post104-continuous-v3,539807cd564d571194824c9e9a5986a9c009b1b63ed371ea94a24f47d2ef96d9,C3,"[""C3""]",training,C3,1,s1,1,5,5,5,5,4,4,29e40d9d-fcba-4886-8a14-dd6d3c6b3f5d:s1:t5,29e40d9d-fcba-4886-8a14-dd6d3c6b3f5d:s1:t5:a1,1,29e40d9d-fcba-4886-8a14-dd6d3c6b3f5d:segment1,180,20,3.321928094887362,878.0487804878048,97.5609756097561,884.4977650527946,0335b2c8-8084-4c33-9a3c-1e849357e589,1,11,4,1076.0363049712757,558.7740005555058,1853.5098884716554,966.8236150329607,1096,565,90258.30000019073,1846,949,90841.70000004768,583.3999998569489,true,true,0,1846,949,583.3999998569489,0,completed,,,2026-09-24T08:54:24.250Z,2026-09-24T08:54:24.833Z,2026-09-24T08:54:24.833Z,,31,90250.06
1.2.0,29e40d9d-fcba-4886-8a14-dd6d3c6b3f5d,001,main,pointing-single-208-post104-continuous-v3,539807cd564d571194824c9e9a5986a9c009b1b63ed371ea94a24f47d2ef96d9,C3,"[""C3""]",training,C3,1,s1,1,6,6,6,6,5,5,29e40d9d-fcba-4886-8a14-dd6d3c6b3f5d:s1:t6,29e40d9d-fcba-4886-8a14-dd6d3c6b3f5d:s1:t6:a1,1,29e40d9d-fcba-4886-8a14-dd6d3c6b3f5d:segment1,180,20,3.321928094887362,878.0487804878048,97.5609756097561,884.4977650527946,0335b2c8-8084-4c33-9a3c-1e849357e589,1,4,10,1853.5098884716554,966.8236150329607,1000.9756097560976,756.6927878536417,1846,949,90841.70000004768,1035,769,91491.90000009537,650.2000000476837,true,true,0,1035,769,650.2000000476837,0,completed,,,2026-09-24T08:54:24.833Z,2026-09-24T08:54:25.484Z,2026-09-24T08:54:25.484Z,,34,90849.9
1.2.0,29e40d9d-fcba-4886-8a14-dd6d3c6b3f5d,001,main,pointing-single-208-post104-continuous-v3,539807cd564d571194824c9e9a5986a9c009b1b63ed371ea94a24f47d2ef96d9,C3,"[""C3""]",training,C3,1,s1,1,7,7,7,7,6,6,29e40d9d-fcba-4886-8a14-dd6d3c6b3f5d:s1:t7,29e40d9d-fcba-4886-8a14-dd6d3c6b3f5d:s1:t7:a1,1,29e40d9d-fcba-4886-8a14-dd6d3c6b3f5d:segment1,180,20,3.321928094887362,878.0487804878048,97.5609756097561,884.4977650527946,0335b2c8-8084-4c33-9a3c-1e849357e589,1,10,3,1000.9756097560976,756.6927878536417,1879.0243902439024,756.6927878536418,1035,769,91491.90000009537,1887,746,92208.5,716.5999999046326,true,true,0,1887,746,716.5999999046326,0,completed,,,2026-09-24T08:54:25.484Z,2026-09-24T08:54:26.200Z,2026-09-24T08:54:26.200Z,,34,91483.364
1.2.0,29e40d9d-fcba-4886-8a14-dd6d3c6b3f5d,001,main,pointing-single-208-post104-continuous-v3,539807cd564d571194824c9e9a5986a9c009b1b63ed371ea94a24f47d2ef96d9,C3,"[""C3""]",training,C3,1,s1,1,8,8,8,8,7,7,29e40d9d-fcba-4886-8a14-dd6d3c6b3f5d:s1:t8,29e40d9d-fcba-4886-8a14-dd6d3c6b3f5d:s1:t8:a1,1,29e40d9d-fcba-4886-8a14-dd6d3c6b3f5d:segment1,180,20,3.321928094887362,878.0487804878048,97.5609756097561,884.4977650527946,0335b2c8-8084-4c33-9a3c-1e849357e589,1,3,9,1879.0243902439024,756.6927878536418,1026.4901115283446,966.8236150329608,1887,746,92208.5,1071,982,92725.40000009537,516.9000000953674,true,true,0,1071,982,516.9000000953674,0,completed,,,2026-09-24T08:54:26.200Z,2026-09-24T08:54:26.717Z,2026-09-24T08:54:26.717Z,,27,92200.044
1.2.0,29e40d9d-fcba-4886-8a14-dd6d3c6b3f5d,001,main,pointing-single-208-post104-continuous-v3,539807cd564d571194824c9e9a5986a9c009b1b63ed371ea94a24f47d2ef96d9,C3,"[""C3""]",training,C3,1,s1,1,9,9,9,9,8,8,29e40d9d-fcba-4886-8a14-dd6d3c6b3f5d:s1:t9,29e40d9d-fcba-4886-8a14-dd6d3c6b3f5d:s1:t9:a1,1,29e40d9d-fcba-4886-8a14-dd6d3c6b3f5d:segment1,180,20,3.321928094887362,878.0487804878048,97.5609756097561,884.4977650527946,0335b2c8-8084-4c33-9a3c-1e849357e589,1,9,2,1026.4901115283446,966.8236150329608,1803.963695028724,558.7740005555054,1071,982,92725.40000009537,1748,559,93325.40000009537,600,false,true,1,1796,569,866.2000000476837,266.2000000476837,completed,,,2026-09-24T08:54:26.717Z,2026-09-24T08:54:27.317Z,2026-09-24T08:54:27.583Z,,39,92733.3
1.2.0,29e40d9d-fcba-4886-8a14-dd6d3c6b3f5d,001,main,pointing-single-208-post104-continuous-v3,539807cd564d571194824c9e9a5986a9c009b1b63ed371ea94a24f47d2ef96d9,C3,"[""C3""]",training,C3,1,s1,1,10,10,10,10,9,9,29e40d9d-fcba-4886-8a14-dd6d3c6b3f5d:s1:t10,29e40d9d-fcba-4886-8a14-dd6d3c6b3f5d:s1:t10:a1,1,29e40d9d-fcba-4886-8a14-dd6d3c6b3f5d:segment1,180,20,3.321928094887362,878.0487804878048,97.5609756097561,884.4977650527946,0335b2c8-8084-4c33-9a3c-1e849357e589,1,2,8,1803.963695028724,558.7740005555054,1146.7347454150745,1141.0280419376672,1796,569,93591.60000014305,1121,1156,94159.70000004768,568.0999999046326,true,true,0,1121,1156,568.0999999046326,0,completed,,,2026-09-24T08:54:27.583Z,2026-09-24T08:54:28.151Z,2026-09-24T08:54:28.151Z,,34,93600.032
