schemaVersion,sessionId,participantId,experimentMode,protocolId,configHash,trainingCondition,trainingConditions,phase,conditionId,conditionOrder,sequenceId,sequenceIndexInCondition,trialInSequence,trialInCondition,trialInPhase,countedTotal,priorSameConditionFirstClicks,priorAllConditionFirstClicks,plannedTrialId,attemptId,attemptIndex,segmentId,amplitudeMm,widthMm,nominalId,amplitudeCssPx,widthCssPx,layoutDiameterCssPx,calibrationId,geometryRevision,fromTargetIndex,toTargetIndex,fromCenterX,fromCenterY,toCenterX,toCenterY,startClickX,startClickY,startAtMonotonicMs,firstClickX,firstClickY,firstClickAtMonotonicMs,mtFirstMs,firstHit,countedAsTrial,correctionClickCount,completionX,completionY,mtCompletionMs,correctionDurationMs,completionStatus,interruptionReason,interruptedAtIso,startedAtIso,firstClickAtIso,completedAtIso,recoveredAtIso,trajectorySampleCount,targetPaintAtMonotonicMs
1.2.0,6cafcd86-5c31-46a7-83e8-471788f2c459,P002,pilot,pointing-pilot-selected-208-post104-continuous-v4,6f01dd8e6afd67eb78b863696a810bcbdbe09d09487ab1b75dcf1e8e4cb7d335,,"[""C2"",""C3""]",training,C2,1,s1,1,1,1,1,1,0,0,6cafcd86-5c31-46a7-83e8-471788f2c459:s1:t1,6cafcd86-5c31-46a7-83e8-471788f2c459:s1:t1:a1,1,6cafcd86-5c31-46a7-83e8-471788f2c459:segment1,90,10,3.321928094887362,315.7894736842105,35.08771929824561,318.1088453260051,5833f780-308c-41c8-947c-f8b38a7cfc05,1,0,6,960,380.9455773369974,998.0642148174704,694.4325902100671,968,383,40623.199999928474,1003,699,41233.39999997616,610.2000000476837,true,true,0,1003,699,610.2000000476837,0,completed,,,2026-09-26T08:05:06.666Z,2026-09-26T08:05:07.276Z,2026-09-26T08:05:07.276Z,,444,40621.9
1.2.0,6cafcd86-5c31-46a7-83e8-471788f2c459,P002,pilot,pointing-pilot-selected-208-post104-continuous-v4,6f01dd8e6afd67eb78b863696a810bcbdbe09d09487ab1b75dcf1e8e4cb7d335,,"[""C2"",""C3""]",training,C2,1,s1,1,2,2,2,2,1,1,6cafcd86-5c31-46a7-83e8-471788f2c459:s1:t2,6cafcd86-5c31-46a7-83e8-471788f2c459:s1:t2:a1,1,6cafcd86-5c31-46a7-83e8-471788f2c459:segment1,90,10,3.321928094887362,315.7894736842105,35.08771929824561,318.1088453260051,5833f780-308c-41c8-947c-f8b38a7cfc05,1,6,12,998.0642148174704,694.4325902100671,886.0837241724593,399.1643030462519,1003,699,41233.39999997616,886,401,41831.89999997616,598.5,true,true,0,886,401,598.5,0,completed,,,2026-09-26T08:05:07.276Z,2026-09-26T08:05:07.874Z,2026-09-26T08:05:07.874Z,,392,41230.932
1.2.0,6cafcd86-5c31-46a7-83e8-471788f2c459,P002,pilot,pointing-pilot-selected-208-post104-continuous-v4,6f01dd8e6afd67eb78b863696a810bcbdbe09d09487ab1b75dcf1e8e4cb7d335,,"[""C2"",""C3""]",training,C2,1,s1,1,3,3,3,3,2,2,6cafcd86-5c31-46a7-83e8-471788f2c459:s1:t3,6cafcd86-5c31-46a7-83e8-471788f2c459:s1:t3:a1,1,6cafcd86-5c31-46a7-83e8-471788f2c459:segment1,90,10,3.321928094887362,315.7894736842105,35.08771929824561,318.1088453260051,5833f780-308c-41c8-947c-f8b38a7cfc05,1,12,5,886.0837241724593,399.1643030462519,1065.4725915612453,659.0539449074066,886,401,41831.89999997616,1064,658,42305.39999997616,473.5,true,true,0,1064,658,473.5,0,completed,,,2026-09-26T08:05:07.874Z,2026-09-26T08:05:08.348Z,2026-09-26T08:05:08.348Z,,312,41834
1.2.0,6cafcd86-5c31-46a7-83e8-471788f2c459,P002,pilot,pointing-pilot-selected-208-post104-continuous-v4,6f01dd8e6afd67eb78b863696a810bcbdbe09d09487ab1b75dcf1e8e4cb7d335,,"[""C2"",""C3""]",training,C2,1,s1,1,4,4,4,4,3,3,6cafcd86-5c31-46a7-83e8-471788f2c459:s1:t4,6cafcd86-5c31-46a7-83e8-471788f2c459:s1:t4:a1,1,6cafcd86-5c31-46a7-83e8-471788f2c459:segment1,90,10,3.321928094887362,315.7894736842105,35.08771929824561,318.1088453260051,5833f780-308c-41c8-947c-f8b38a7cfc05,1,5,11,1065.4725915612453,659.0539449074066,829.1007763493185,449.6467896734714,1064,658,42305.39999997616,838,446,42742.39999997616,437,true,true,0,838,446,437,0,completed,,,2026-09-26T08:05:08.348Z,2026-09-26T08:05:08.785Z,2026-09-26T08:05:08.785Z,,263,42300.6
1.2.0,6cafcd86-5c31-46a7-83e8-471788f2c459,P002,pilot,pointing-pilot-selected-208-post104-continuous-v4,6f01dd8e6afd67eb78b863696a810bcbdbe09d09487ab1b75dcf1e8e4cb7d335,,"[""C2"",""C3""]",training,C2,1,s1,1,5,5,5,5,4,4,6cafcd86-5c31-46a7-83e8-471788f2c459:s1:t5,6cafcd86-5c31-46a7-83e8-471788f2c459:s1:t5:a1,1,6cafcd86-5c31-46a7-83e8-471788f2c459:segment1,90,10,3.321928094887362,315.7894736842105,35.08771929824561,318.1088453260051,5833f780-308c-41c8-947c-f8b38a7cfc05,1,11,4,829.1007763493185,449.6467896734714,1108.7184686608584,596.4014755820297,838,446,42742.39999997616,1092,602,43266.799999952316,524.3999999761581,false,true,1,1104,587,939.6000000238419,415.2000000476837,completed,,,2026-09-26T08:05:08.785Z,2026-09-26T08:05:09.309Z,2026-09-26T08:05:09.725Z,,473,42743.064
1.2.0,6cafcd86-5c31-46a7-83e8-471788f2c459,P002,pilot,pointing-pilot-selected-208-post104-continuous-v4,6f01dd8e6afd67eb78b863696a810bcbdbe09d09487ab1b75dcf1e8e4cb7d335,,"[""C2"",""C3""]",training,C2,1,s1,1,6,6,6,6,5,5,6cafcd86-5c31-46a7-83e8-471788f2c459:s1:t6,6cafcd86-5c31-46a7-83e8-471788f2c459:s1:t6:a1,1,6cafcd86-5c31-46a7-83e8-471788f2c459:segment1,90,10,3.321928094887362,315.7894736842105,35.08771929824561,318.1088453260051,5833f780-308c-41c8-947c-f8b38a7cfc05,1,4,10,1108.7184686608584,596.4014755820297,802.1052631578948,520.8281079122746,1104,587,43682,799,516,44136.60000002384,454.60000002384186,true,true,0,799,516,454.60000002384186,0,completed,,,2026-09-26T08:05:09.725Z,2026-09-26T08:05:10.179Z,2026-09-26T08:05:10.179Z,,310,43676.4
1.2.0,6cafcd86-5c31-46a7-83e8-471788f2c459,P002,pilot,pointing-pilot-selected-208-post104-continuous-v4,6f01dd8e6afd67eb78b863696a810bcbdbe09d09487ab1b75dcf1e8e4cb7d335,,"[""C2"",""C3""]",training,C2,1,s1,1,7,7,7,7,6,6,6cafcd86-5c31-46a7-83e8-471788f2c459:s1:t7,6cafcd86-5c31-46a7-83e8-471788f2c459:s1:t7:a1,1,6cafcd86-5c31-46a7-83e8-471788f2c459:segment1,90,10,3.321928094887362,315.7894736842105,35.08771929824561,318.1088453260051,5833f780-308c-41c8-947c-f8b38a7cfc05,1,10,3,802.1052631578948,520.8281079122746,1117.8947368421052,520.8281079122746,799,516,44136.60000002384,1146,521,44631,494.39999997615814,false,true,1,1129,528,726.6999999284744,232.29999995231628,completed,,,2026-09-26T08:05:10.179Z,2026-09-26T08:05:10.674Z,2026-09-26T08:05:10.906Z,,342,44137
1.2.0,6cafcd86-5c31-46a7-83e8-471788f2c459,P002,pilot,pointing-pilot-selected-208-post104-continuous-v4,6f01dd8e6afd67eb78b863696a810bcbdbe09d09487ab1b75dcf1e8e4cb7d335,,"[""C2"",""C3""]",training,C2,1,s1,1,8,8,8,8,7,7,6cafcd86-5c31-46a7-83e8-471788f2c459:s1:t8,6cafcd86-5c31-46a7-83e8-471788f2c459:s1:t8:a1,1,6cafcd86-5c31-46a7-83e8-471788f2c459:segment1,90,10,3.321928094887362,315.7894736842105,35.08771929824561,318.1088453260051,5833f780-308c-41c8-947c-f8b38a7cfc05,1,3,9,1117.8947368421052,520.8281079122746,811.2815313391415,596.4014755820298,1129,528,44863.299999952316,816,602,45321.89999997616,458.60000002384186,true,true,0,816,602,458.60000002384186,0,completed,,,2026-09-26T08:05:10.906Z,2026-09-26T08:05:11.365Z,2026-09-26T08:05:11.365Z,,329,44861.232
1.2.0,6cafcd86-5c31-46a7-83e8-471788f2c459,P002,pilot,pointing-pilot-selected-208-post104-continuous-v4,6f01dd8e6afd67eb78b863696a810bcbdbe09d09487ab1b75dcf1e8e4cb7d335,,"[""C2"",""C3""]",training,C2,1,s1,1,9,9,9,9,8,8,6cafcd86-5c31-46a7-83e8-471788f2c459:s1:t9,6cafcd86-5c31-46a7-83e8-471788f2c459:s1:t9:a1,1,6cafcd86-5c31-46a7-83e8-471788f2c459:segment1,90,10,3.321928094887362,315.7894736842105,35.08771929824561,318.1088453260051,5833f780-308c-41c8-947c-f8b38a7cfc05,1,9,2,811.2815313391415,596.4014755820298,1090.8992236506815,449.64678967347123,816,602,45321.89999997616,1098,453,45780.799999952316,458.89999997615814,true,true,0,1098,453,458.89999997615814,0,completed,,,2026-09-26T08:05:11.365Z,2026-09-26T08:05:11.823Z,2026-09-26T08:05:11.823Z,,327,45318.8
1.2.0,6cafcd86-5c31-46a7-83e8-471788f2c459,P002,pilot,pointing-pilot-selected-208-post104-continuous-v4,6f01dd8e6afd67eb78b863696a810bcbdbe09d09487ab1b75dcf1e8e4cb7d335,,"[""C2"",""C3""]",training,C2,1,s1,1,10,10,10,10,9,9,6cafcd86-5c31-46a7-83e8-471788f2c459:s1:t10,6cafcd86-5c31-46a7-83e8-471788f2c459:s1:t10:a1,1,6cafcd86-5c31-46a7-83e8-471788f2c459:segment1,90,10,3.321928094887362,315.7894736842105,35.08771929824561,318.1088453260051,5833f780-308c-41c8-947c-f8b38a7cfc05,1,2,8,1090.8992236506815,449.64678967347123,854.5274084387548,659.0539449074066,1098,453,45780.799999952316,856,667,46204.10000002384,423.3000000715256,true,true,0,856,667,423.3000000715256,0,completed,,,2026-09-26T08:05:11.823Z,2026-09-26T08:05:12.247Z,2026-09-26T08:05:12.247Z,,343,45780.998
