participant_id,session_id,phase,condition_id,bin_index,trial_start,trial_end,trial_center,n_trials,n_errors,mean_mt_ms,error_rate_pct
P002,6cafcd86-5c31-46a7-83e8-471788f2c459,post,C1,1,1,10,5.5,10,3,308.97999999523165,30.0
P002,6cafcd86-5c31-46a7-83e8-471788f2c459,post,C1,2,11,20,15.5,10,0,317.4399999976158,0.0
P002,6cafcd86-5c31-46a7-83e8-471788f2c459,post,C1,3,21,26,23.5,6,1,332.88333334525424,16.666666666666668
P002,6cafcd86-5c31-46a7-83e8-471788f2c459,post,C2,1,1,10,5.5,10,3,456.4899999976158,30.0
P002,6cafcd86-5c31-46a7-83e8-471788f2c459,post,C2,2,11,20,15.5,10,1,442.28999999761584,10.0
P002,6cafcd86-5c31-46a7-83e8-471788f2c459,post,C2,3,21,26,23.5,6,0,479.71666665871936,0.0
P002,6cafcd86-5c31-46a7-83e8-471788f2c459,post,C3,1,1,10,5.5,10,2,458.9399999976158,20.0
P002,6cafcd86-5c31-46a7-83e8-471788f2c459,post,C3,2,11,20,15.5,10,4,425.7500000119209,40.0
P002,6cafcd86-5c31-46a7-83e8-471788f2c459,post,C3,3,21,26,23.5,6,2,453.5166666706403,33.333333333333336
P002,6cafcd86-5c31-46a7-83e8-471788f2c459,post,C4,1,1,10,5.5,10,3,583.7599999904633,30.0
P002,6cafcd86-5c31-46a7-83e8-471788f2c459,post,C4,2,11,20,15.5,10,5,550.7400000095367,50.0
P002,6cafcd86-5c31-46a7-83e8-471788f2c459,post,C4,3,21,26,23.5,6,3,585.2833333611488,50.0
P002,6cafcd86-5c31-46a7-83e8-471788f2c459,training,C2,1,1,10,5.5,10,2,493.34000000953677,20.0
P002,6cafcd86-5c31-46a7-83e8-471788f2c459,training,C2,2,11,20,15.5,10,3,503.16999999284747,30.0
P002,6cafcd86-5c31-46a7-83e8-471788f2c459,training,C2,3,21,30,25.5,10,1,494.25,10.0
P002,6cafcd86-5c31-46a7-83e8-471788f2c459,training,C2,4,31,40,35.5,10,0,500.6600000023842,0.0
P002,6cafcd86-5c31-46a7-83e8-471788f2c459,training,C2,5,41,50,45.5,10,4,514.75,40.0
P002,6cafcd86-5c31-46a7-83e8-471788f2c459,training,C2,6,51,60,55.5,10,1,468.5000000119209,10.0
P002,6cafcd86-5c31-46a7-83e8-471788f2c459,training,C2,7,61,70,65.5,10,1,526.3299999952317,10.0
P002,6cafcd86-5c31-46a7-83e8-471788f2c459,training,C2,8,71,80,75.5,10,0,456.98000000715257,0.0
P002,6cafcd86-5c31-46a7-83e8-471788f2c459,training,C2,9,81,90,85.5,10,2,444.53999999761584,20.0
P002,6cafcd86-5c31-46a7-83e8-471788f2c459,training,C2,10,91,100,95.5,10,2,417.3,20.0
P002,6cafcd86-5c31-46a7-83e8-471788f2c459,training,C2,11,101,110,105.5,10,3,445.8900000095367,30.0
P002,6cafcd86-5c31-46a7-83e8-471788f2c459,training,C2,12,111,120,115.5,10,3,460.90999999046323,30.0
P002,6cafcd86-5c31-46a7-83e8-471788f2c459,training,C2,13,121,130,125.5,10,4,437.2800000071526,40.0
P002,6cafcd86-5c31-46a7-83e8-471788f2c459,training,C2,14,131,140,135.5,10,2,477.4200000166893,20.0
P002,6cafcd86-5c31-46a7-83e8-471788f2c459,training,C2,15,141,150,145.5,10,1,478.9200000047684,10.0
P002,6cafcd86-5c31-46a7-83e8-471788f2c459,training,C2,16,151,160,155.5,10,0,467.1,0.0
P002,6cafcd86-5c31-46a7-83e8-471788f2c459,training,C2,17,161,170,165.5,10,1,466.6200000047684,10.0
P002,6cafcd86-5c31-46a7-83e8-471788f2c459,training,C2,18,171,180,175.5,10,1,481.3899999976158,10.0
P002,6cafcd86-5c31-46a7-83e8-471788f2c459,training,C2,19,181,190,185.5,10,2,426.21000000238416,20.0
P002,6cafcd86-5c31-46a7-83e8-471788f2c459,training,C2,20,191,200,195.5,10,2,438.56999999284744,20.0
P002,6cafcd86-5c31-46a7-83e8-471788f2c459,training,C2,21,201,208,204.5,8,0,483.875,0.0
P002,6cafcd86-5c31-46a7-83e8-471788f2c459,training,C3,1,1,10,5.5,10,1,462.0299999952316,10.0
P002,6cafcd86-5c31-46a7-83e8-471788f2c459,training,C3,2,11,20,15.5,10,1,449.46000000238416,10.0
P002,6cafcd86-5c31-46a7-83e8-471788f2c459,training,C3,3,21,30,25.5,10,2,453.40999999046323,20.0
P002,6cafcd86-5c31-46a7-83e8-471788f2c459,training,C3,4,31,40,35.5,10,4,443.07000000476836,40.0
P002,6cafcd86-5c31-46a7-83e8-471788f2c459,training,C3,5,41,50,45.5,10,2,429.2799999952316,20.0
P002,6cafcd86-5c31-46a7-83e8-471788f2c459,training,C3,6,51,60,55.5,10,1,422.5299999952316,10.0
P002,6cafcd86-5c31-46a7-83e8-471788f2c459,training,C3,7,61,70,65.5,10,3,457.35,30.0
P002,6cafcd86-5c31-46a7-83e8-471788f2c459,training,C3,8,71,80,75.5,10,1,456.94000000953673,10.0
P002,6cafcd86-5c31-46a7-83e8-471788f2c459,training,C3,9,81,90,85.5,10,2,445.69000000953673,20.0
P002,6cafcd86-5c31-46a7-83e8-471788f2c459,training,C3,10,91,100,95.5,10,3,434.2000000119209,30.0
P002,6cafcd86-5c31-46a7-83e8-471788f2c459,training,C3,11,101,110,105.5,10,0,431.2799999952316,0.0
P002,6cafcd86-5c31-46a7-83e8-471788f2c459,training,C3,12,111,120,115.5,10,6,432.68000000715256,60.0
P002,6cafcd86-5c31-46a7-83e8-471788f2c459,training,C3,13,121,130,125.5,10,1,424.75,10.0
P002,6cafcd86-5c31-46a7-83e8-471788f2c459,training,C3,14,131,140,135.5,10,2,414.45999999046325,20.0
P002,6cafcd86-5c31-46a7-83e8-471788f2c459,training,C3,15,141,150,145.5,10,3,437.8399999976158,30.0
P002,6cafcd86-5c31-46a7-83e8-471788f2c459,training,C3,16,151,160,155.5,10,1,435.0600000023842,10.0
P002,6cafcd86-5c31-46a7-83e8-471788f2c459,training,C3,17,161,170,165.5,10,2,436.9999999880791,20.0
P002,6cafcd86-5c31-46a7-83e8-471788f2c459,training,C3,18,171,180,175.5,10,1,452.6200000047684,10.0
P002,6cafcd86-5c31-46a7-83e8-471788f2c459,training,C3,19,181,190,185.5,10,3,368.9200000047684,30.0
P002,6cafcd86-5c31-46a7-83e8-471788f2c459,training,C3,20,191,200,195.5,10,2,428.2199999928474,20.0
P002,6cafcd86-5c31-46a7-83e8-471788f2c459,training,C3,21,201,208,204.5,8,3,397.45000000298023,37.5
