condition,resolution,horizontal_native_pixels,A_native_px,W_native_px,ID_bits,A_mm,W_mm,layout_diameter_native_px,predicted_MT_ms
I1,FHD,1920,315,45,3,98.0645044575026,14.009214922500371,317.3135732126901,711.5
I2,FHD,1920,315,21,4,98.0645044575026,6.5376336305001725,317.3135732126901,891.5
I3,FHD,1920,630,90,3,196.1290089150052,28.018429845000743,634.6271464253801,711.5
I4,FHD,1920,630,42,4,196.1290089150052,13.075267261000345,634.6271464253801,891.5
I1,QHD,2560,420,60,3,98.0645044575026,14.009214922500371,423.08476428358676,711.5
I2,QHD,2560,420,28,4,98.0645044575026,6.5376336305001725,423.08476428358676,891.5
I3,QHD,2560,840,120,3,196.1290089150052,28.018429845000743,846.1695285671735,711.5
I4,QHD,2560,840,56,4,196.1290089150052,13.075267261000345,846.1695285671735,891.5
I1,4K,3840,630,90,3,98.0645044575026,14.009214922500371,634.6271464253801,711.5
I2,4K,3840,630,42,4,98.0645044575026,6.5376336305001725,634.6271464253801,891.5
I3,4K,3840,1260,180,3,196.1290089150052,28.018429845000743,1269.2542928507603,711.5
I4,4K,3840,1260,84,4,196.1290089150052,13.075267261000345,1269.2542928507603,891.5
